,State,University
0,OK,
1,IN,purdue university
2,CA,university of southern california
3,TX,university of north texas hlth sci ctr
4,,miriam hospital
5,NY,cornell university
6,CA,california state university los angeles
7,SC,university of south carolina at columbia
8,FL,florida international university
9,WI,university of wisconsin madison
10,,mount sinai school of medicine
11,,"mariposa community health center, inc."
12,SC,medical university of south carolina
13,OR,oregon health and sci university
14,NY,fordham university
15,,"healthcare interactive, inc."
16,CA,stanford university
17,CA,university of california-irvine
18,,sandia consulting group
19,NA,eunice kennedy shriver national institute of child health & human development
20,,rush university medical center
21,MA,brigham and women's hospital
22,CA,cancer prevention instit of california
23,TX,texas christian university
24,TX,texas society for public health educ
25,,seattle-king county public health dept
26,,nathan s. kline institute for psych res
27,DC,howard university
28,,univ of med/dent nj-r w johnson med sch
29,MI,michigan state university
30,NC,duke university
31,MD,university of maryland college pk campus
32,ND,university of north dakota
33,,university of pittsburgh at pittsburgh
34,IL,university of chicago
35,,seattle children's hospital
36,CT,wesleyan university
37,,bowling green state univ bowling green
38,MD,"univ of maryland, college park"
39,VA,hampton university
40,,mount sinai school of medicine of nyu
41,AZ,"la frontera center, inc."
42,MA,mgh institute of health professions
43,NA,national institute on drug abuse
44,,temple univ of the commonwealth
45,TN,vanderbilt university medical center
46,LA,louisiana state univ hsc new orleans
47,,university of glasgow
48,,university of oxford
49,,institute for family health
50,PA,temple university
51,CA,claremont graduate university
52,,valdez and associates
53,,boston university (charles river campus)
54,CA,university of california san francisco
55,,kaiser foundation research institute
56,AZ,arizona state university-tempe campus
57,NY,new york university school of medicine
58,CA,california state poly u pomona
59,CA,"university of california, merced"
60,,critical path institute
61,,"environment and health group, inc."
62,,"nanomimetics, inc."
63,,juneteenth productions
64,OR,oregon health & science university
65,PA,thomas jefferson university
66,,american institutes for research
67,VA,virginia polytechnic inst and st univ
68,NY,state university of new york at buffalo
69,CA,san diego state university
70,MI,university of michigan
71,CA,university of california
72,VI,university of the virgin islands
73,UT,university of utah
74,TN,university of memphis
75,VA,virginia commonwealth university
76,FL,university of south florida
77,,miami jewish home and hospital for aged
78,,j. david gladstone institutes
79,MT,montana state university - bozeman
80,NA,national institute of arthritis and musculoskeletal and skin diseases
81,,"haskins laboratories, inc."
82,AZ,northern arizona university
83,CA,california state university san marcos
84,OR,oregon health and science university
85,NJ,princeton university
86,,american society of addiction medicine
87,,division of cancer epidemiology and genetics
88,NA,national institute of environmental health sciences
89,OH,case western reserve university
90,NA,national assn for rural mental health
91,CA,university of california san diego
92,,columbia university health sciences
93,NY,new york botanical garden
94,,catholic diocese of brownsville
95,,women's action alliance
96,FL,saint thomas university
97,TX,texas tech university health scis center
98,NC,univ of north carolina chapel hill
99,,long island university brooklyn campus
100,WA,university of washington
101,,metropolitan state college of denver
102,,university of miami school of medicine
103,OK,university of oklahoma hlth sciences ctr
104,TX,university of texas medical br galveston
105,,university of calif-lawrnc lvrmr nat lab
106,VT,university of vermont & st agric college
107,NY,state university new york stony brook
108,,seattle inst for biomedical/clinical res
109,NE,university of nebraska lincoln
110,NE,university of nebraska medical center
111,RI,brown university
112,HI,university of hawaii at manoa
113,,medstar health research institute
114,,arbor research collaborative for  health
115,,"kdh research and communication, inc."
116,WI,university of wisconsin-madison
117,GA,medical college of georgia (mcg)
118,NA,national association of hispanic nurses
119,NY,beth israel medical ctr (new york)
120,,weill medical coll of cornell univ
121,,harvard school of public health
122,,charles r. drew university of med & sci
123,NA,national development & res institutes
124,TN,vanderbilt university
125,NA,"macro international, inc."
126,NA,national asian pac amer fam ag sub abuse
127,,boston university medical campus
128,DE,university of delaware
129,RI,rhode island hospital
130,,h. lee moffitt cancer ctr & res inst
131,NY,state university of new york at albany
132,,cooper institute
133,,ny society/prevention/cruelty/children
134,,wits health consortium (pty) ltd
135,MA,boston university
136,,primary care coalition/montgomery county
137,NC,north carolina central university
138,,fred hutchinson can res ctr
139,,wested
140,,public health institute
141,AZ,university of arizona
142,LA,tulane university of louisiana
143,MI,wayne state university
144,IL,northwestern university
145,TX,university of texas austin
146,IL,university of illinois at chicago
147,,city of hope/beckman research institute
148,,eugenio maria de hostos community coll
149,MA,boston medical center
150,,mount sinai school of medicine of cuny
151,WI,wisconsin department of health services
152,,anton de kom university of suriname
153,IN,indiana univ-purdue univ at indianapolis
154,NA,national institute on aging
155,,amc cancer research center
156,NM,university of new mexico
157,,not applicable
158,OH,cuyahoga community college
159,MD,university of maryland eastern shore
160,CO,university of colorado denver
161,IA,iowa state university
162,,wake forest university health sciences
163,,northwestern university at chicago
164,NV,university of nevada reno
165,,st. luke's-roosevelt inst for hlth scis
166,CO,colorado state university-fort collins
167,MN,university of minnesota
168,,joslin diabetes center
169,NY,niagara university
170,NA,national human genome research institute
